0	2088	4.71	[19, 13, 5, 10, 14, 2, 1, 6, 12, 7, 3, 17, 8, 4, 15, 18, 11, 9, 0, 16]
1	2065	4.77	[3, 5, 2, 4, 19, 1, 17, 13, 9, 15, 8, 14, 6, 10, 12, 18, 11, 0, 16, 7]
2	2084	4.82	[19, 3, 14, 12, 18, 15, 11, 5, 6, 8, 2, 1, 4, 0, 13, 17, 10, 9, 16, 7]
3	2035	4.75	[3, 14, 13, 6, 5, 2, 10, 19, 18, 12, 0, 4, 1, 15, 17, 11, 8, 16, 7, 9]
4	2104	4.78	[2, 14, 13, 12, 10, 19, 3, 18, 8, 6, 5, 1, 15, 17, 16, 4, 11, 0, 7, 9]
5	2040	4.74	[19, 18, 14, 17, 3, 5, 4, 13, 6, 10, 2, 8, 1, 12, 16, 15, 11, 0, 9, 7]
6	2075	4.72	[15, 2, 13, 6, 5, 19, 8, 14, 1, 17, 4, 10, 16, 11, 9, 7, 18, 12, 0, 3]
7	2106	4.74	[14, 3, 6, 5, 8, 15, 10, 16, 19, 18, 2, 17, 4, 0, 13, 11, 1, 7, 12, 9]
8	2079	4.77	[14, 5, 6, 19, 2, 11, 10, 17, 13, 18, 8, 12, 15, 4, 1, 16, 0, 9, 7, 3]
9	2062	4.71	[14, 2, 10, 4, 15, 19, 5, 0, 12, 6, 13, 18, 1, 16, 11, 8, 17, 3, 9, 7]
10	2046	4.73	[14, 10, 19, 13, 1, 15, 6, 18, 12, 17, 5, 16, 8, 11, 3, 2, 4, 0, 9, 7]
11	2059	4.77	[2, 5, 3, 14, 19, 4, 1, 10, 16, 15, 8, 11, 12, 17, 18, 6, 13, 0, 9, 7]
12	2078	4.78	[19, 3, 4, 14, 13, 10, 18, 6, 0, 17, 12, 15, 5, 16, 11, 2, 8, 1, 7, 9]
13	2031	4.83	[19, 18, 2, 6, 13, 5, 14, 1, 15, 0, 10, 12, 17, 4, 8, 3, 11, 9, 16, 7]
14	2029	4.81	[2, 15, 19, 18, 4, 6, 13, 5, 12, 3, 17, 14, 11, 0, 10, 16, 8, 1, 9, 7]
15	2043	4.86	[19, 3, 2, 13, 5, 6, 14, 18, 1, 8, 10, 16, 4, 12, 15, 17, 11, 0, 9, 7]
16	2042	4.71	[14, 15, 5, 19, 6, 13, 10, 11, 3, 8, 18, 2, 1, 16, 4, 12, 17, 0, 9, 7]
17	2044	4.79	[2, 18, 19, 13, 10, 14, 1, 16, 11, 8, 15, 17, 5, 12, 4, 6, 0, 9, 7, 3]
18	2036	4.87	[14, 3, 19, 8, 13, 18, 4, 5, 2, 6, 10, 0, 15, 11, 1, 12, 17, 9, 16, 7]
19	2066	4.75	[14, 18, 19, 13, 12, 10, 15, 11, 17, 3, 6, 8, 5, 2, 4, 0, 1, 16, 9, 7]
