0	1551	0.09	[7, 0, 9, 6, 8, 4, 2, 1, 3, 5]
1	1553	0.09	[9, 3, 4, 7, 8, 0, 2, 6, 1, 5]
2	1576	0.08	[0, 9, 7, 1, 4, 2, 5, 8, 6, 3]
3	1551	0.08	[7, 3, 0, 9, 4, 2, 8, 1, 6, 5]
4	1546	0.09	[7, 0, 2, 6, 9, 8, 4, 5, 1, 3]
5	1553	0.08	[7, 0, 9, 8, 1, 4, 3, 6, 2, 5]
6	1560	0.09	[7, 8, 9, 2, 0, 4, 1, 6, 3, 5]
7	1544	0.08	[9, 7, 0, 6, 2, 8, 3, 4, 5, 1]
8	1549	0.08	[9, 7, 8, 0, 4, 3, 6, 2, 5, 1]
9	1568	0.09	[2, 7, 4, 0, 9, 6, 8, 5, 1, 3]
10	1564	0.08	[7, 2, 0, 9, 6, 4, 8, 1, 3, 5]
11	1566	0.09	[7, 8, 9, 4, 0, 6, 3, 2, 1, 5]
12	1553	0.07	[3, 7, 8, 0, 9, 2, 4, 6, 1, 5]
13	1545	0.07	[7, 0, 9, 2, 4, 8, 6, 5, 1, 3]
14	1544	0.09	[7, 0, 9, 6, 2, 8, 4, 5, 1, 3]
15	1543	0.08	[7, 0, 9, 4, 8, 3, 6, 2, 5, 1]
16	1571	0.08	[7, 0, 8, 3, 9, 1, 4, 2, 6, 5]
17	1553	0.09	[9, 7, 4, 0, 8, 2, 6, 3, 5, 1]
18	1562	0.09	[7, 8, 0, 4, 9, 3, 6, 5, 2, 1]
19	1576	0.08	[9, 3, 7, 8, 6, 4, 0, 5, 2, 1]
0	1589	0.09	[7, 9, 6, 0, 8, 4, 3, 2, 5, 1]
1	1563	0.09	[7, 8, 0, 6, 2, 4, 3, 9, 1, 5]
2	1551	0.08	[3, 7, 9, 4, 8, 0, 6, 1, 2, 5]
3	1554	0.10	[7, 0, 9, 5, 4, 2, 8, 3, 6, 1]
4	1567	0.09	[7, 0, 4, 8, 2, 9, 1, 6, 5, 3]
5	1554	0.08	[7, 8, 0, 9, 4, 2, 6, 5, 1, 3]
6	1570	0.09	[7, 8, 2, 0, 4, 1, 9, 3, 6, 5]
7	1570	0.09	[8, 7, 0, 2, 6, 1, 9, 4, 3, 5]
8	1552	0.09	[3, 9, 7, 6, 8, 0, 2, 4, 5, 1]
9	1557	0.10	[7, 9, 4, 0, 8, 6, 1, 2, 3, 5]
10	1556	0.09	[7, 0, 9, 4, 8, 5, 1, 2, 3, 6]
11	1554	0.09	[2, 7, 0, 9, 6, 8, 4, 1, 3, 5]
12	1559	0.09	[7, 2, 8, 0, 9, 6, 4, 5, 1, 3]
13	1543	0.09	[7, 0, 2, 9, 4, 8, 3, 6, 5, 1]
14	1555	0.09	[7, 2, 0, 9, 4, 8, 6, 5, 1, 3]
15	1561	0.10	[9, 7, 0, 2, 6, 8, 4, 1, 5, 3]
16	1571	0.08	[9, 4, 7, 8, 0, 2, 5, 3, 6, 1]
17	1558	0.10	[7, 0, 6, 2, 8, 9, 5, 4, 3, 1]
18	1556	0.09	[7, 3, 9, 6, 8, 0, 4, 1, 2, 5]
19	1550	0.09	[9, 7, 0, 4, 8, 2, 3, 6, 1, 5]
